participants_id	sub_id	task_num	reward1	reward2	reward3	reward4	reward5	dprime	criterion	VTC	CE	OE
sub-101	YC304_dicom	5	0	0	1	1	0	3.4586	1.0328	0.73213	0.24625	0.0033502
sub-102	YC305_dicom	5	0	1	0	1	0	3.5578	1.0953	0.73331	0.25147	0.0022184
sub-103	YC312_dicom	5	1	0	1	0	1	2.8811	0.86294	0.6843	0.286	0.010703
sub-104	YC317_dicom	5	1	0	1	0	1	3.4913	0.64584	0.6708	0.14103	0.010678
sub-105	YC320_dicom	5	0	1	0	1	0	3.7562	0.83514	0.73238	0.14957	0.004408
sub-106	YC324_dicom	3	1	0	1	NAN	NAN	3.3397	0.60162	0.75051	0.14283	0.021497
sub-107	YC326_dicom	5	1	0	1	0	1	4.0543	0.95897	0.67568	0.14632	0.0011146
sub-108	YC327_dicom	5	1	0	1	0	1	4.3713	0.65353	0.71185	0.080312	0.0025851
sub-109	YC328_dicom	5	0	1	0	1	0	3.2513	1.1841	0.68496	0.33582	0.0026181
sub-110	YC329_dicom	5	1	0	1	0	1	3.5926	0.91811	0.65719	0.19728	0.0059233
sub-111	YC330_dicom	5	1	0	1	0	1	2.3765	0.44111	0.56307	0.22959	0.074172
sub-112	YC332_dicom	5	1	0	1	0	1	2.9608	1.2182	0.63688	0.39927	0.0044095
sub-113	YC333_dicom	5	0	1	0	1	0	4.1514	0.95068	0.73828	0.1389	0.00074212
sub-114	YC336_dicom	5	0	1	0	1	0	3.7969	0.92989	0.74217	0.1672	0.0025885
sub-115	YC339_dicom	4	1	0	1	0	NAN	3.3148	1.0408	0.73104	0.27384	0.004504
sub-116	YC342_dicom	4	0	1	0	1	NAN	3.0811	0.80165	0.71408	0.23352	0.010247
